WorkRef,VISTAPublisher,PublicationDate,WorkAlert,ExcludedFromConfirmation,ConfirmationRestrictionAdded,ConfirmationNotes,WorkStatus,Imprint,CommissioningEditor,ISBN,ProductType,EditionTarget,Binding,Format,EditionVISTAProdType,EditionPriceSynchronisationTemplate,EditionExtent,EditionEmbargoedUntil
C102390155434,Fic Non Fic Pic,4/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447270003,EBook,Ebook,,"EPUB3, Fixed",Dig Ed Adobe,MCB Low,32,
C102674115729,Fic Non Fic Pic,4/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447295037,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,24,
C103090140425,Fic Non Fic Pic,4/12/2026,,No,No,,Acquired,Macmillan Children's Books,,9781447269977,EBook,Ebook,,,Dig Ed Adobe,MCB Low,32,
C103011102309,Fic Non Fic Pic,4/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447269984,EBook,Ebook,,"EPUB3, Fixed",Dig Ed Adobe,MCB Low,32,
C103593165333,Fic Non Fic Pic,4/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447294382,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,32,
C102827145911,Fic Non Fic Pic,4/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447294405,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,32,
30760,Fic Non Fic Pic,4/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447293996,Book,New Edit/Cover,Paperback,B Format,Paperback,,240,
30760,Fic Non Fic Pic,4/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447294092,EBook,Ebook,,epub,E-Books,MCB High,240,
C102827164850,Fic Non Fic Pic,4/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447294443,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,32,
50002,Picador,4/12/2026,,No,No,,Acquired,Picador,Picador Editor,9781447273134,Book,Main Market Ed.,Paperback,B Format,Paperback,,112,
C102955155411,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275213,EBook,Ebook,,epub,E-Books,Fiction High,336,
4474,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447294429,EBook,Ebook,,epub,E-Books,Non-Fiction High,496,
13688,Picador,15/12/2026,,No,No,,Acquired,Picador,Picador Editor,9781447275497,EBook,Ebook,,epub,E-Books,Non-Fiction High,192,
50436,Tor,15/12/2026,,No,No,,Acquired,Tor,Tor Editor,9781447283720,EBook,Ebook,,epub,E-Books,Fiction Low,1024,
C103647103933,Tor,15/12/2026,,No,No,,Acquired,Pan,Pan Editor,9781447256243,EBook,Ebook,,epub,E-Books,Fiction High,400,
50664,Tor,15/12/2026,,No,No,,Acquired,Tor,,9781447290483,EBook,Ebook,,epub,E-Books,Fiction High,512,
1959,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275398,EBook,Ebook,,epub,E-Books,Fiction High,240,
4160,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275190,EBook,Ebook,,epub,E-Books,Fiction High,512,
1713,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275336,EBook,Ebook,,epub,E-Books,Non-Fiction High,224,
C103676154700,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275114,EBook,Ebook,,epub,E-Books,Fiction High,352,
6316,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275251,EBook,Ebook,,epub,E-Books,Fiction High,96,
15959,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275312,EBook,Ebook,,epub,E-Books,Fiction High,448,
1289,Gen Non-Fiction,15/12/2026,,No,No,,Acquired,Pan,Pan Editor,9781447288473,EBook,Ebook,,epub,E-Books,Non-Fiction Low,320,
1920,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275411,EBook,Ebook,,epub,E-Books,Non-Fiction High,272,
8288,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275435,EBook,Ebook,,epub,E-Books,Fiction High,368,
16174,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447277736,EBook,Ebook,,epub,E-Books,Fiction High,256,
C103067143943,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447277712,EBook,Ebook,,epub,E-Books,Fiction High,400,
2026,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275299,EBook,Ebook,,epub,E-Books,Non-Fiction High,240,
C101423155632,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275350,EBook,Ebook,,epub,E-Books,Fiction High,368,
C103744120057,Mantle,15/12/2026,,No,No,,Acquired,Mantle,Mantle Editor,9781447265856,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,256,
2179,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275138,EBook,Ebook,,epub,E-Books,Non-Fiction High,368,
C103712143516,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275473,EBook,Ebook,,epub,E-Books,Non-Fiction High,352,
20624,Gen Non-Fiction,15/12/2026,,No,No,,Acquired,Pan,Pan Editor,9781447288497,EBook,Ebook,,epub,E-Books,Non-Fiction Low,128,
19788,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275237,EBook,Ebook,,epub,E-Books,Non-Fiction High,192,
4729,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275091,EBook,Ebook,,epub,E-Books,Non-Fiction High,320,
2333,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275077,EBook,Ebook,,epub,E-Books,Non-Fiction High,272,
2652,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275459,EBook,Ebook,,epub,E-Books,Non-Fiction High,256,
19272,Picador,15/12/2026,,No,No,,Acquired,Picador,,9781447275176,EBook,Ebook,,epub,E-Books,Fiction High,224,
C102954121942,Fic Non Fic Pic,18/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780230752177,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,96,
10871,Fic Non Fic Pic,18/12/2026,,Yes,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447264170,EBook,Ebook,,"EPUB3, Fixed",Dig Ed Adobe,MCB Low,32,
50775,Mantle,18/12/2026,,No,No,,Acquired,Mantle,Mantle Editor,9781447292210,EBook,Ebook,,epub,E-Books,Fiction High,224,
50019,Presch Brand&Cl,18/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447292951,EBook,Ebook,,epub,Dig Ed Adobe,,224,
14159,Fic Non Fic Pic,18/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447298526,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,24,
50017,Fic Non Fic Pic,18/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447292937,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,336,
20681,Presch Brand&Cl,18/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447292968,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,240,
C103548155900,Fic Non Fic Pic,18/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447248514,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,316,
C102243135055,Fic Non Fic Pic,18/12/2026,,Yes,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447264194,EBook,Ebook,,"EPUB3, Fixed",Dig Ed Adobe,MCB Low,32,
13148,Two Hoots,18/12/2026,,No,No,,Acquired,Two Hoots,,9781447298182,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,32,
C100583121012,Picador,18/12/2026,,No,No,,Acquired,Picador,Picador Editor,9781447274940,Book,New Edit/Cover,Paperback,B Format,Paperback,,336,
C103606155219,Two Hoots,18/12/2026,,No,No,,Acquired,Two Hoots,,9781447295051,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,48,
50572,Gen Non-Fiction,23/12/2026,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447290759,EBook,Ebook,,"EPUB3, Fixed",E-Books,£4.99 fixed,240,
50573,Gen Non-Fiction,23/12/2026,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447290742,EBook,Ebook,,"EPUB3, Fixed",E-Books,£4.99 fixed,240,
4729,Picador,1/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447275084,Book,Main Market Ed.,Paperback,B Format,Paperback,,336,
16156,Fic Non Fic Pic,1/1/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447281047,Book,Main Market Ed.,Paperback,B Format,Paperback,,208,
C103279115418,Picador,1/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447231233,Book,Main Market Ed.,Paperback,B Format,Paperback,,576,
C102530144806,Fic Non Fic Pic,1/1/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447298519,EBook,Ebook,,,E-Books,MCB Low,32,
C103220144137,Picador,1/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447226888,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
1959,Picador,1/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447275381,Book,Main Market Ed.,Paperback,B Format,Paperback,,240,
19272,Picador,1/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447275169,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
C102171134401,Picador,1/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447293132,Book,New Edit/Cover,Paperback,B Format,Paperback,,368,
C103793095512,Picador,1/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447268970,Book,Main Market Ed.,Paperback,B Format,Paperback,,352,
50314,Presch Brand&Cl,1/1/2027,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447283461,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
C102955155411,Picador,1/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447275206,Book,Main Market Ed.,Paperback,B Format,Paperback,,336,
2179,Picador,1/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447275121,Book,Main Market Ed.,Paperback,B Format,Paperback,,368,
50505,Bluebird,1/1/2027,,No,No,,Acquired,Boxtree,Boxtree Editor,9780752265629,Book,Main Market Ed.,Paperback,Other,Paperback,,112,
2652,Picador,1/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447275442,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
50824,Gen Non-Fiction,1/1/2027,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447294252,Book,Main Market Ed.,Hardback,Crown Quarto,Hardback,,320,
C101423155632,Picador,1/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447275343,Book,Main Market Ed.,Paperback,B Format,Paperback,,368,
19788,Picador,1/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447275220,Book,Main Market Ed.,Paperback,B Format,Paperback,,272,
15959,Picador,1/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447275305,Book,Main Market Ed.,Paperback,B Format,Paperback,,448,
C103583165847,Picador,1/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447250937,Book,Main Market Ed.,Paperback,B Format,Paperback,,448,
50825,Gen Non-Fiction,1/1/2027,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447294320,Book,Main Market Ed.,Hardback,,Hardback,,34,
50337,Fic Non Fic Pic,15/1/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447279839,EBook,Ebook,,epub,E-Books,MCB High,305,
50338,Fic Non Fic Pic,15/1/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447279846,EBook,Ebook,,epub,E-Books,Standard Ebook,100,
C103072162726,Macmillan Bus,15/1/2027,,No,No,,Acquired,Pan,Pan Editor,9781447286318,Book,Main Market Ed.,Paperback,B Format,Paperback,,304,
50102,Picador,15/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447274742,EBook,Ebook,,epub,E-Books,Fiction Low,256,
C103334171607,Tor,15/1/2027,,No,No,,Acquired,Tor,Tor Editor,9780230770447,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,400,
C103649113541,Tor,15/1/2027,,No,No,,Acquired,Tor,Tor Editor,9781447256724,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,300,
50318,Picador,15/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447280033,EBook,Ebook,,epub,E-Books,Fiction Low,256,
C103649113541,Tor,15/1/2027,,No,No,,Acquired,Tor,Tor Editor,9781447256649,Book,Main Market Ed.,Paperback,B Format,Paperback,,336,
C102464173922,Mantle,15/1/2027,,No,No,,Acquired,Pan,Pan Editor,9780330526630,Book,Main Market Ed.,Paperback,B Format,Paperback,,416,
50556,Picador,15/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447286257,EBook,Ebook,,epub,E-Books,Non-Fiction High,544,
50319,Picador,15/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447280088,EBook,Ebook,,epub,E-Books,Fiction Low,288,
C103592135627,Fic Non Fic Pic,15/1/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447251743,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,256,
50320,Picador,15/1/2027,,No,No,,Acquired,Picador,Picador Editor,9781447280064,EBook,Ebook,,epub,E-Books,Fiction Low,304,
C102465152442,Gen Non-Fiction,15/1/2027,,No,No,,Acquired,Pan,Pan Editor,9781447273363,Book,Main Market Ed.,Paperback,B Format,Paperback,,384,
C103548095608,Gen Non-Fiction,15/1/2027,,No,No,,Acquired,Pan,Pan Editor,9781447264835,Book,Main Market Ed.,Paperback,B Format,Paperback,,336,
C102528142358,Gen Non-Fiction,15/1/2027,,No,No,,Acquired,Pan,Pan Editor,9781447273394,Book,Main Market Ed.,Paperback,,Paperback,,352,
C101868160911,Gen Non-Fiction,15/1/2027,,No,No,,Acquired,Pan,Pan Editor,9781447273370,Book,Main Market Ed.,Paperback,B Format,Paperback,,368,
C101001161450,Gen Non-Fiction,15/1/2027,,No,No,,Acquired,Pan,Pan Editor,9781447273387,Book,Main Market Ed.,Paperback,B Format,Paperback,,320,
C103647103933,Tor,15/1/2027,,No,No,,Acquired,Pan,Pan Editor,9781447256236,Book,Main Market Ed.,Paperback,B Format,Paperback,,336,
50556,Picador,15/1/2027,,No,No,,Acquired,Pan,Pan Editor,9781447286264,Book,Main Market Ed.,Paperback,B Format,Paperback,,560,
52097,Fic Non Fic Pic,22/1/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781509816439,Book,Main Market Ed.,Paperback,Other,Paperback,,384,
C103222142423,Picador,29/1/2027,,No,No,,Acquired,Pan,Pan Editor,9781447227175,Book,Main Market Ed.,Paperback,B Format,Paperback,,512,
10017,Fic Non Fic Pic,29/1/2027,,No,No,,No Head Contract Required,Macmillan Children's Books,Macmillan Children's Books Editor,9781447280453,EBook,Ebook,,epub,E-Books,MCB High,96,
C103551131804,Fic Non Fic Pic,29/1/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447248774,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
C103759101506,Fic Non Fic Pic,29/1/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447298618,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,32,
50188,Presch Brand&Cl,29/1/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447282532,Picture Book,Main Market Ed.,Board Book,Other,Hardback,,16,
50824,Gen Non-Fiction,29/1/2027,,No,No,,Acquired,Macmillan,,9781509802234,EBook,Ebook,,"EPUB, Fixed",E-Books,Non-Fiction Low,320,
C102450150849,Tor,29/1/2027,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447249382,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,400,
49207,Fic Non Fic Pic,29/1/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447279785,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
49207,Fic Non Fic Pic,29/1/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447279792,EBook,Ebook,,epub,E-Books,MCB High,256,
50324,Two Hoots,29/1/2027,,No,No,,Acquired,Two Hoots,,9781447298885,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,32,
50324,Two Hoots,29/1/2027,,No,No,,Acquired,Two Hoots,Two Hoots Editor,9781447279624,Book,Main Market Ed.,Paperback,270 x 216,Paperback,,32,
50189,Presch Brand&Cl,29/1/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447282525,Picture Book,Main Market Ed.,Board Book,Other,Hardback,,16,
15136,Presch Brand&Cl,5/2/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447287117,Book,Main Market Ed.,Hardback,Other,Hardback,,72,
50268,Presch Brand&Cl,5/2/2027,,No,No,,No Head Contract Required,Macmillan Children's Books,Macmillan Children's Books Editor,9781447280002,Book,Main Market Ed.,Paperback,B Format,Paperback,,224,
50266,Presch Brand&Cl,5/2/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447277781,Book,Main Market Ed.,Hardback,Other,Hardback,,128,
50267,Fic Non Fic Pic,5/2/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447279990,Book,Main Market Ed.,Paperback,B Format,Paperback,,208,
C102925150556,Picador,12/2/2027,,No,No,,Acquired,Macmillan Digital Audio,,9781447299349,Audio Digital Download,Main Market Ed.,,,Audio Download,,,
50391,Fic Non Fic Pic,12/2/2027,,No,No,,No Head Contract Required,Macmillan Children's Books,Macmillan Children's Books Editor,9781447282488,EBook,Ebook,,"EPUB3, Fixed",Paperback,MCB Low,96,
C103794185131,Picador,12/2/2027,,No,No,,Acquired,Picador,Picador Editor,9781447269908,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,268,
2867,Picador,12/2/2027,,No,No,,Acquired,Picador,,9781447275275,EBook,Ebook,,epub,E-Books,Non-Fiction High,368,
C103382151002,Picador,12/2/2027,,No,No,,Acquired,Picador,Picador Editor,9781447277682,Book,Main Market Ed.,Paperback,B Format,Paperback,,336,
49162,Fic Non Fic Pic,12/2/2027,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447281719,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
49164,Picador,12/2/2027,,No,No,,Acquired,Picador,Picador Editor,9781447271147,Book,Main Market Ed.,Paperback,S format,Paperback,,80,
C103310173258,Tor,12/2/2027,,No,No,,Acquired,Tor,Tor Editor,9780230770058,EBook,Ebook,,,Dig Ed Adobe,Fiction High,550,
C103297165251,Mantle,12/2/2027,,No,No,,Acquired,Mantle,Mantle Editor,9780230769540,EBook,Ebook,,,Dig Ed Adobe,Fiction Low,288,
49164,Picador,12/2/2027,,No,No,,Acquired,Picador,Picador Editor,9781447271154,EBook,Ebook,,epub,E-Books,Fiction High,80,
C103688114210,Picador,12/2/2027,,No,No,,Acquired,Picador,Picador Editor,9781447261339,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,256,
49196,Picador,12/2/2027,,No,No,,Acquired,Picador,Picador Editor,9781447272731,EBook,Ebook,,epub,E-Books,Fiction High,560,
C103243110452,Mantle,12/2/2027,,No,No,,Acquired,Pan,Pan Editor,9781447228257,Book,Main Market Ed.,Paperback,B Format,Paperback,,336,
C103751110935,Fic Non Fic Pic,26/2/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447266143,Book,Main Market Ed.,Paperback,250 x 250,Paperback,,32,
C103748155149,Fic Non Fic Pic,26/2/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447266112,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,304,
50477,Fic Non Fic Pic,26/2/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447284888,EBook,Ebook,,epub,E-Books,MCB High,144,
11294,Fic Non Fic Pic,26/2/2027,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447299806,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
13638,Fic Non Fic Pic,26/2/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781509805983,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB High,176,
13638,Fic Non Fic Pic,26/2/2027,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447299820,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
11294,Fic Non Fic Pic,26/2/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781509806003,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB High,176,
C103751143737,Tor,26/2/2027,,No,No,,Acquired,Pan,Pan Editor,9781447266150,Book,Main Market Ed.,Paperback,B Format,Paperback,,384,
15136,Presch Brand&Cl,26/2/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447298595,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,72,
13638,Fic Non Fic Pic,26/2/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780330472012,Book,Main Market Ed.,Paperback,Other,Paperback,,176,
C103129163709,Fic Non Fic Pic,26/2/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447276401,EBook,Ebook,,epub,E-Books,MCB High,448,
C103748155149,Fic Non Fic Pic,26/2/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447266105,Book,Main Market Ed.,Paperback,B Format,Paperback,,384,
C103241152637,Fic Non Fic Pic,26/2/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447228011,Book,Main Market Ed.,Paperback,B Format,Paperback,,320,
13637,Fic Non Fic Pic,26/2/2027,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447299813,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
50477,Fic Non Fic Pic,26/2/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447284871,Book,Main Market Ed.,Paperback,B Format,Paperback,,144,
50753,Gen Non-Fiction,26/2/2027,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447292852,EBook,Ebook,,"EPUB3, Fixed",E-Books,Non-Fiction Low,124,
C103667165141,Fic Non Fic Pic,26/2/2027,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447298601,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,32,
