WorkRef,VISTAPublisher,PublicationDate,WorkAlert,ExcludedFromConfirmation,ConfirmationRestrictionAdded,ConfirmationNotes,WorkStatus,Imprint,CommissioningEditor,ISBN,ProductType,EditionTarget,Binding,Format,EditionVISTAProdType,EditionPriceSynchronisationTemplate,EditionExtent,EditionEmbargoedUntil
C102830114432,Picador,25/4/2025,,No,No,,Acquired,Picador,Picador Editor,9781447203209,Book,Main Market Ed.,Paperback,B Format,Paperback,,320,
C102984141809,Picador,9/5/2025,,No,No,,Acquired,Picador,Picador Editor,9781447212072,Book,Main Market Ed.,Paperback,B Format,Paperback,,400,
C102731113729,Picador,9/5/2025,,No,No,,Acquired,Picador,Picador Editor,9781447204374,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,320,
C102893173938,Picador,9/5/2025,,No,No,,Acquired,Picador,Picador Editor,9781447207634,Book,Main Market Ed.,Paperback,B Format,Paperback,,320,
C103550121008,Fic Non Fic Pic,9/5/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447217787,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,256,
C103137105511,Picador,9/5/2025,,No,No,,Acquired,Picador,Picador Editor,9781447221760,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,256,
19611,Tor,9/5/2025,,No,No,,Acquired,Tor,Tor Editor,9780230771765,EBook Bundle,Ebook,,epub,Online,,700,
C102361143258,Picador,9/5/2025,,No,No,,Acquired,Pan,Pan Editor,9780330520294,Book,Main Market Ed.,Paperback,,Paperback,,496,
C103191100054,Picador,9/5/2025,,No,No,,Acquired,Picador,Picador Editor,9781447224914,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,256,
C103550121008,Fic Non Fic Pic,9/5/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780330517928,Book,Main Market Ed.,Paperback,B Format,Paperback,,320,
C103757185628,Fic Non Fic Pic,23/5/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447217824,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,480,
C102486151929,Picador,23/5/2025,,No,No,,Acquired,Picador,Picador Editor,9780230771680,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,526,
C103342141838,Macmillan Bus,23/5/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447248392,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,272,
C103487124808,Gen Non-Fiction,23/5/2025,,No,No,,Acquired,Pan,Pan Editor,9781447248385,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,160,
C103460122530,Picador,23/5/2025,,No,No,,Acquired,Picador,Picador Editor,9780283071904,EBook,Ebook,,,Dig Ed Adobe,Non-Fiction Low,288,
